alpha,Mach,accepted,gep_cr,gep_ci,jump_cr,jump_ci,one_minus_overlap
0.14,1.325,0.0,0.2202874363626607,0.0053901275641876,0.20807349293827818,0.0020942687063805,0.0025464920606174113
0.1,1.4,0.0,0.4280476095131496,0.0066207419147678,0.20775784485956666,0.0019943137798893,0.020452266478598435
0.1,1.375,0.0,0.2202897646535829,0.0046940973182685,0.20775784485956666,0.0019266445964993004,0.000805851678910452
0.06,1.475,0.0,0.2203215283559642,0.0040707570645042,0.2077051387820743,0.0019317678515067003,0.00022811927736321458
0.06,1.5,0.0,0.4280266671380385,0.005807954949436,0.2077051387820743,0.0017923786296141003,0.002820488801319576
0.08,1.45,0.0,0.4180395128707531,0.0061098387564909,0.20749598329374608,0.0019797708394297996,0.008519704335624989
0.24,1.225,0.0,0.22044988878235,0.0074912951676147,0.2055982698620903,0.004765268953485301,0.012382380696522755
0.27,1.2,0.0,0.2304405861962334,0.0083697815425525,0.20437641578456142,0.0009385535431268004,0.011196259299498412
0.24,1.725,0.0,0.7396156813783616,0.0088810656615603,0.20265164720072726,0.0012782606382529,0.017077492549576023
0.24,1.75,0.0,0.5369640341776344,0.0088696924461944,0.20265164720072726,0.0003452063495599997,0.00018411208367674625
0.09,1.4,0.0,0.2300792443372473,0.0046264281348785,0.19796836517590227,0.0019943137798893,0.0005322032159036372
0.09,1.425,0.0,0.4280283581120963,0.0064128782964054,0.19794911377484897,0.0019472231277433997,0.013396181202120605
0.08,1.425,0.0,0.2300876042073269,0.004465655168662,0.19794075390476937,0.0019472231277433997,0.000496197835689216
0.05,1.5,0.0,0.2301105534483632,0.0040155763198219,0.1979288412662791,0.0017923786296141003,0.0001585030326154424
0.05,1.525,0.0,0.4280393947146423,0.0056252703820139,0.1979288412662791,0.0017395132341857995,0.001461817799775611
0.27,1.7000000000000002,0.0,0.7346204008660181,0.0097756598934485,0.1970404863703894,0.0009139142341575007,0.026122192651709564
0.27,1.725,0.0,0.5375799144956287,0.0097182422443516,0.1970404863703894,0.0008719554454576992,0.00025667777179605444
0.18,1.325,0.0,0.6248912520327846,0.0105068976999242,0.1961266285685746,0.0032259751603444,0.037771241679651624
0.14,1.375,0.0,0.6189303974413534,0.0081596438290755,0.19056946814041448,0.0006752475585074004,0.0630136309687328
0.16,1.35,0.0,0.6190007509874017,0.0090385531034545,0.19043490053821,0.0012602553985489005,0.05461506138797645
0.12,1.4,0.0,0.6185698605668692,0.0081316798272591,0.19038822334395267,0.0010923420850028004,0.04656777665961065
0.02,1.5750000000000002,0.0,0.2693752651972291,0.003990336393901,0.188651077703619,0.0015967493250968,2.1125768787211285e-05
0.2,1.775,0.0,0.6830406263879931,0.0069118878694493,0.18600281901538984,0.0015991537392547007,0.006502976013769812
0.2,1.8,1.0,0.4970378073726033,0.008511041608704,0.18600281901538984,0.0015991537392547007,0.0006030030482013782
0.03,1.6,0.0,0.4680568358836613,0.0056219530336419,0.1789803681283067,0.0015143849535877996,0.00030594844824616274
0.02,1.6,0.0,0.2890764677553546,0.0041075680800541,0.1789803681283067,0.0015143849535877996,2.564198150023511e-05
0.18,1.775,0.0,0.7393463256680556,0.0057390377598725,0.17364648730073518,0.0025592550673422003,0.0023137182278524238
0.18,1.8,0.0,0.5656998383673204,0.0082982928272147,0.17364648730073518,0.0025592550673422003,0.0001556682430019496
0.03,1.625,0.0,0.4681003211682669,0.0055633372619044,0.16915045399430478,0.0014142369809647002,0.0003213493331402084
0.04,1.375,0.0,0.2790984790482019,0.0045468986883663,0.1657624145609716,0.0016919607133650005,3.270975420899269e-05
0.04,1.35,0.0,0.1133360644872303,0.0028549379750013,0.1657624145609716,0.0016919607133650005,2.0261172171243125e-05
0.04,1.675,0.0,0.7394044355635354,0.0049526975373159,0.16203327765163278,0.0017854099425088999,0.0014348882880059755
0.04,1.65,0.0,0.5773711579119026,0.0067381074798248,0.16203327765163278,0.0017854099425088999,0.0011395546914684251
0.28,1.775,0.0,0.6289635759608967,0.0112011629641491,0.16107063511544611,0.002192488016651199,0.12478617498688249
0.28,1.75,0.0,0.4678929408454506,0.0090086749474979,0.16107063511544611,0.002192488016651199,0.004543451254321207
0.26,1.8,0.0,0.6281353192502069,0.0110662238584036,0.16034670398225326,0.0025892100974505006,0.09429461279890139
0.26,1.775,0.0,0.4677886152679537,0.0084770137609531,0.16034670398225326,0.0025892100974505006,0.002421933778874008
0.23,1.725,0.0,0.7395042240537191,0.0076028050233074,0.1534998163163227,0.0012782606382529,0.011352846837703212
0.23,1.75,0.0,0.5860044077373964,0.0086525324920997,0.1534998163163227,0.0010497274687923004,0.00012327348587082287
0.3,1.7000000000000002,0.0,0.7305506552716228,0.009241803554813,0.1512069503286202,0.0021819779858260006,0.012702592495870024
0.3,1.725,0.0,0.5793437049430026,0.0114235292686745,0.1512069503286202,0.0021817257138615,0.23076143750463907
0.26,1.7000000000000002,0.0,0.7344347554479143,0.010689574127606,0.1476168992888066,0.0023176569517842985,0.027656954028914993
0.26,1.725,0.0,0.5868178561591076,0.0099706086203046,0.1476168992888066,0.0012344963073632007,0.00047540921574640294
0.25,1.275,0.0,0.7019109047129131,0.005281651912117,0.14700210105839906,0.0021892357605761996,0.0024295686875456246
0.28,1.25,0.0,0.7019650558718667,0.005246730647207,0.1469841008829793,0.0017059930588901005,0.002591856709526219
0.22,1.3,0.0,0.7018660365692979,0.0056405354924788,0.14697814245451724,0.0029941840669178996,0.003534190955878813
0.04,1.4,0.0,0.3780099002599527,0.0053770830376413,0.13854258596332886,0.0011870313099852006,4.208275991002264e-05
0.21,1.775,0.0,0.6152270579735406,0.0079542754056196,0.13784378794769098,0.0014456632013864004,8.898105227417297e-05
0.21,1.8,1.0,0.4773832700258496,0.0082514684939171,0.13784378794769098,0.00029719308829749894,0.0005301472931887874
0.25,1.725,0.0,0.6450905638505312,0.0096850213879134,0.1376714886352396,0.0008957259200315995,0.008077238120124841
0.25,1.75,0.0,0.5074190752152916,0.0087892954678818,0.1376714886352396,0.0008957259200315995,0.000508297328580376
0.09,1.45,0.0,0.5478736135353263,0.0076245811397488,0.12983410066457318,0.0015147423832579006,0.016442208201736586
0.08,1.475,0.0,0.5476960555992971,0.0074228765860581,0.12965654272854404,0.0014203516700471994,0.009599317955584441
0.05,1.55,0.0,0.5573012822435236,0.0068810377129307,0.1292618875288813,0.0012557673309168006,0.0017178864112246117
0.04,1.425,0.0,0.249669290323957,0.0041900517276561,0.1283406099359957,0.0011870313099852006,4.36060295075924e-05
0.19,1.8,0.0,0.5165713921737984,0.008668699388599,0.127769898331061,0.001487317115406,0.00029562398870441875
0.19,1.775,0.0,0.6443412905048594,0.007181382273193,0.127769898331061,0.001487317115406,0.00017149599162757934
0.03,1.45,0.0,0.1715608878665918,0.0033565426833,0.12727810971480763,0.0011852546011932,2.17683944954139e-05
0.21,1.75,0.0,0.7394268209771863,0.0065086122042332,0.12419976300364566,0.0014456632013864004,0.005662877236029207
0.19,1.325,0.0,0.6731407158982966,0.0072809225395798,0.1241679803488045,0.0036143187434052003,0.013986554580841637
0.1,1.425,0.0,0.5480960096271278,0.00779374747409,0.12006765151503151,0.0013808691776846004,0.023824655735223965
0.07,1.5,0.0,0.5475723288557155,0.0072081942649622,0.11955282239426318,0.0014002393155262,0.00571543319761858
0.06,1.525,0.0,0.5475010126101794,0.0069965221555659,0.11947434547214086,0.0013712517735520006,0.0032454127377391506
0.04,1.5750000000000002,0.0,0.5670974761560783,0.0067634478444899,0.1190778707229963,0.0011763621254920996,0.0008716149056772204
0.13,1.4,0.0,0.6678851048237503,0.0078806729159532,0.11901495308891175,0.0003023971209005997,0.05039031842779296
0.15,1.375,0.0,0.6679441486244853,0.008724699043552,0.11875896746071302,0.0015898576493951003,0.041572059238778825
0.17,1.35,0.0,0.6638608301992345,0.0099134415610242,0.11453199661750324,0.0026317428147125997,0.022691194685964033
0.04,1.625,0.0,0.5772136903288515,0.0067729674612034,0.10911336916058462,0.0012096301992989998,0.001054611617825607
0.04,1.6,0.0,0.5770396486937759,0.0067943248465236,0.10898281281011457,0.0011723718128817005,0.0009749082673256027
0.29,1.775,0.0,0.6742658066226713,0.0116965196698225,0.10521788099972496,0.002845363204031101,0.06493859913440181
0.29,1.75,0.0,0.5690479256229464,0.0111806825993534,0.10521788099972496,0.0021720076518554985,0.21210175977840917
0.17,1.775,0.0,0.739321352733312,0.0056634662577958,0.10483531747282626,0.0016623754199007997,0.0020723986056168098
0.17,1.8,0.0,0.6344860352604857,0.0073258416776966,0.10483531747282626,0.0016623754199007997,5.591489383116599e-05
0.27,1.775,0.0,0.5681737571979003,0.0105641159220803,0.10038514192994663,0.0020871021611272005,0.13563395619625618
0.27,1.8,0.0,0.6680860228035255,0.01100241356195,0.09991226560562516,0.0007450178575486004,0.08434656312937838
