alpha,Mach,ci,omega_i,success,source,primary_ci,primary_omega_i,primary_success,primary_mismatch,secondary_ci,secondary_omega_i,secondary_success,secondary_stage1_mismatch,secondary_stage2_mismatch,ci_abs_diff,omega_abs_diff
0.7899999999999999,0.48999999999999994,0.054934624238098376,0.043398353148097715,True,secondary_neutral,0.05491913044754072,0.04338611305355717,True,5.475275653438888e-08,0.054934624238098376,0.043398353148097715,True,8.660050227897501e-05,8.989513749252616e-27,1.549379055765243e-05,1.2240094540545698e-05
0.8599999999999999,0.48999999999999994,0.007751978382905122,0.006666701409298404,True,secondary_neutral,0.02505405601853409,0.021546488175939314,True,5.139318226474957e-05,0.007751978382905122,0.006666701409298404,True,1.4625169341036346e-05,4.038496490340711e-25,0.017302077635628965,0.01487978676664091
0.9299999999999999,0.48999999999999994,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.000971133444822655,False,0.2674295582521777,3.076559502514209e-25,0.0010442295105619946,0.000971133444822655
1.0,0.48999999999999994,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.0010442295105619946,False,0.7975546689547836,1.6874227800743206e-25,0.0010442295105619946,0.0010442295105619946
0.02,0.5599999999999999,0.7442842473372667,0.014885684946745335,True,primary,0.7442842473372667,0.014885684946745335,True,1.5657077448525542e-07,,,,,,,
0.09,0.5599999999999999,0.6487174240157145,0.0583845681614143,True,primary,0.6487174240157145,0.0583845681614143,True,1.4571028997586565e-06,,,,,,,
0.15999999999999998,0.5599999999999999,0.5637516354771003,0.09020026167633603,True,primary,0.5637516354771003,0.09020026167633603,True,1.5143486355741718e-06,,,,,,,
0.22999999999999995,0.5599999999999999,0.48683090656921457,0.11197110851091933,True,primary,0.48683090656921457,0.11197110851091933,True,1.0920622514221795e-06,,,,,,,
0.3,0.5599999999999999,0.41628209915703385,0.12488462974711015,True,primary,0.41628209915703385,0.12488462974711015,True,1.1931419578336449e-06,,,,,,,
0.37,0.5599999999999999,0.3508600471551167,0.1298182174473932,True,primary,0.3508600471551167,0.1298182174473932,True,1.1654513320481438e-06,,,,,,,
0.43999999999999995,0.5599999999999999,0.2896068800795906,0.12742702723501986,True,primary,0.2896068800795906,0.12742702723501986,True,3.1308621783431023e-06,,,,,,,
0.5099999999999999,0.5599999999999999,0.2318950255806271,0.1182664630461198,True,primary,0.2318950255806271,0.1182664630461198,True,9.291522352636652e-07,,,,,,,
0.58,0.5599999999999999,0.17707703998994043,0.10270468319416544,True,primary,0.17707703998994043,0.10270468319416544,True,1.0218334484538363e-06,,,,,,,
0.6499999999999999,0.5599999999999999,0.12472533299461194,0.08107146644649775,True,primary,0.12472533299461194,0.08107146644649775,True,7.890970932043079e-07,,,,,,,
