source_file,source_kind,label,alpha,Mach,candidate_cr,candidate_ci,candidate_omega_i,n_points,family,distance_to_default_shooting,shooting_stage1_mismatch_at_candidate,shooting_stage2_mismatch_at_candidate,overlap_to_reference_high,default_shooting_success,default_shooting_spectral_success,default_shooting_stage1_mismatch,default_shooting_stage2_mismatch,default_stage1_mismatch,default_stage2_mismatch,distance_to_shooting,blumen_cr,blumen_ci,err_cr,err_ci,score_blumen
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,low N=561,0.2,1.25,0.269449401338611,0.0071355533229256,0.0014271106645851,561.0,low,0.0964351751246061,0.0167298315790289,1.5483769736287072e-24,0.1118040098178809,,,,,,,,0.2338874746306954,0.05451369857891339,0.03556192670791561,0.04737814525598779,1.1786702358873198
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=561,0.2,1.25,0.269449401338611,0.0071355533229256,0.0014271106645851,561.0,low,,,,0.1118040098178809,,,,,,,0.0964351751246061,0.2338874746306954,0.05451369857891339,0.03556192670791561,0.04737814525598779,1.1786702358873198
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=801,0.2,1.25,0.2702410200096494,0.0046450686048246,0.0009290137209649,801.0,low,,,,0.0963147993713699,,,,,,,0.1014297375754547,0.2338874746306954,0.05451369857891339,0.036353545378953994,0.049868629974088786,1.2377063564536395
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,high N=561,0.2,1.25,0.6051936830597651,0.0104819208793697,0.0020963841758739,561.0,high,0.3488915466821706,0.0248194492256158,11.772418801578803,0.9857034857450284,,,,,,,,0.2338874746306954,0.05451369857891339,0.3713062084290697,0.04403177769954369,2.012510636259269
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=561,0.2,1.25,0.6051936830597651,0.0104819208793697,0.0020963841758739,561.0,high,,,,0.9857034857450284,,,,,,,0.3488915466821706,0.2338874746306954,0.05451369857891339,0.3713062084290697,0.04403177769954369,2.012510636259269
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,high N=801,0.2,1.25,0.6027956554093702,0.0069113333215832,0.0013822666643166,801.0,high,,,,0.9858141378108974,,,,,,,0.3484919369065385,0.2338874746306954,0.05451369857891339,0.3689081807786748,0.04760236525733019,2.0875715470194125
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,default_shooting,shooting_default,0.2,1.275,0.28134521484375,0.0515517578124999,0.0103103515624999,,,,,,,True,True,2.0566342615716094e-05,1.174140571330954e-26,,,,0.23117469441517483,0.050919975576394085,0.0501705204285752,0.0006317822361058129,0.15045571726911372
supersonic_shooting_vs_gep_families_a020_m120_130_summary.csv,default_shooting,shooting_default,0.2,1.275,0.28134521484375,0.0515517578124999,0.01031035156249998,,,,,,,True,,,,2.0566342615716094e-05,1.174140571330954e-26,,0.23117469441517483,0.050919975576394085,0.0501705204285752,0.0006317822361058129,0.15045571726911372
supersonic_shooting_vs_gep_families_a020_m120_130_families.csv,candidate_family,low N=561,0.2,1.275,0.2793520034480304,0.0074849756786178,0.0014969951357235,561.0,low,0.0881561004253713,0.0156163892085059,3.0926502928284547e-26,0.2003750021386206,,,,,,,,0.23117469441517483,0.050919975576394085,0.04817730903285558,0.043434999897776286,1.1228006625795532
supersonic_local_mode_families_a020_m120_130_summary.csv,candidate_family,low N=561,0.2,1.275,0.2793520034480304,0.0074849756786178,0.0014969951357235,561.0,low,,,,0.2003750021386206,,,,,,,0.0881561004253713,0.23117469441517483,0.050919975576394085,0.04817730903285558,0.043434999897776286,1.1228006625795532
