epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
21,0.9562892317771912,0.22307127714157104,0.7085225582122803,0.06661190092563629,0.0021201781928539276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004939080215990543,5.0,0.2,0.2,0,3.0000009536743164,0.26875388622283936,,,,,,,,,,,,,,,,0.9562892317771912,0,,
22,0.8853434920310974,0.12206542491912842,0.7320843935012817,0.06493115425109863,0.0041386429220438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006238732952624559,5.0,0.2,0.2,0,3.0000009536743164,0.2695901095867157,,,,,,,,,,,,,,,,0.8853434920310974,0,,
23,0.8472073674201965,0.0778656080365181,0.7359749674797058,0.06040598452091217,0.006595757324248552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006673355586826801,5.0,0.2,0.2,0,3.0000009536743164,0.26922786235809326,,,,,,,,,,,,,,,,0.8472073674201965,0,,
24,0.6877264976501465,0.08696293830871582,0.5682684183120728,0.040628597140312195,0.008099122904241085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064990282990038395,5.0,0.2,0.2,0,3.0000009536743164,0.26821887493133545,,,,,,,,,,,,,,,,0.6877264976501465,0,,
25,0.7173723578453064,0.09265609085559845,0.5750863552093506,0.042061276733875275,0.00772367836907506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009925980120897293,5.0,0.2,0.2,0,3.0000009536743164,0.2658103406429291,,,,,,,,,,,,,,,,0.7173723578453064,0,,
26,0.6177572011947632,0.09918887913227081,0.49715179204940796,0.03679109364748001,0.006462044082581997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004283315036445856,5.0,0.2,0.2,0,3.0000009536743164,0.26330840587615967,,,,,,,,,,,,,,,,0.6177572011947632,0,,
27,0.49844416975975037,0.08663301914930344,0.40062329173088074,0.030505843460559845,0.004778243601322174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022375700064003468,5.0,0.2,0.2,0,3.0000009536743164,0.2604946494102478,,,,,,,,,,,,,,,,0.49844416975975037,0,,
28,0.5200374126434326,0.09676644206047058,0.40280094742774963,0.03440137952566147,0.0029393562581390142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004094002768397331,5.0,0.2,0.2,0,3.0000009536743164,0.25727951526641846,,,,,,,,,,,,,,,,0.5200374126434326,0,,
29,0.5417878031730652,0.12319861352443695,0.40582194924354553,0.036753177642822266,0.0019145080586895347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025534536689519882,5.0,0.2,0.2,0,3.0000009536743164,0.25407952070236206,,,,,,,,,,,,,,,,0.5417878031730652,0,,
30,0.5502380132675171,0.1474374532699585,0.39490675926208496,0.03739853948354721,0.001046067220158875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001578756608068943,5.0,0.2,0.2,0,3.0000009536743164,0.2512925863265991,,,,,,,,,,,,,,,,0.5502380132675171,0,,
