alpha,Mach,n_points,rank_cr,candidate_cr,candidate_ci,candidate_omega_i,err_cr,err_ci,distance_to_blumen,classification,blumen_cr,blumen_ci
0.2,1.25,1001,5,0.22110806964459814,0.0031838982779620138,0.0006367796555924028,0.012779404986097254,0.05132980030095138,0.1034519540054265,near_cr_off_ci,0.2338874746306954,0.05451369857891339
0.2,1.25,1001,6,0.2485652053839353,0.003382579251029193,0.0006765158502058386,0.014677730753239915,0.051131119327884195,0.10331021844403358,near_cr_off_ci,0.2338874746306954,0.05451369857891339
0.2,1.25,1001,7,0.21562831555028475,0.0031432731120468347,0.000628654622409367,0.018259159080410647,0.05137042546686656,0.10435075151100404,near_cr_off_ci,0.2338874746306954,0.05451369857891339
0.2,1.25,1001,8,0.2540686659335287,0.0034213944179435274,0.0006842788835887055,0.02018119130283333,0.05109230416096986,0.10415841137570114,off_family,0.2338874746306954,0.05451369857891339
0.2,1.275,1001,1,0.23209501490046516,0.003378427290626888,0.0006756854581253776,0.0009203204852903379,0.0475415482857672,0.0950875504123825,good_cr_low_ci,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,2,0.22660691882095682,0.0033366274098055467,0.0006673254819611093,0.004567775594218004,0.04758334816658854,0.09527625446484697,good_cr_low_ci,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,3,0.2375870569899682,0.0034199549749154984,0.0006839909949830997,0.006412362574793384,0.047500020601478586,0.09521620777133571,good_cr_low_ci,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,4,0.22112271408268766,0.0032945584625711046,0.000658911692514221,0.010051980332487165,0.04762541711382298,0.09577976680733359,near_cr_off_ci,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,5,0.24308309578975368,0.0034612047403356837,0.0006922409480671367,0.011908401374578853,0.0474587708360584,0.09566164194898653,near_cr_off_ci,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,6,0.2156423422834952,0.003252220785920266,0.0006504441571840532,0.015532352131679639,0.04766775479047382,0.09659251187230536,near_cr_off_ci,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,7,0.2485831777371833,0.003502168474222677,0.0007004336948445355,0.017408483322008478,0.04741780710217141,0.09642016911978323,near_cr_off_ci,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,8,0.21016574155561873,0.0032096117155361106,0.0006419223431072222,0.02100895285955609,0.047710363860857974,0.09770614811360082,off_family,0.23117469441517483,0.050919975576394085
0.2,1.3,1001,1,0.27064463896604984,0.003808794863146147,0.0007617589726292294,0.002124182712782474,0.04290226454055362,0.08583081825910703,good_cr_low_ci,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,2,0.27616623878260327,0.0038505461893603137,0.0007701092378720628,0.00339741710377095,0.04286051321433945,0.08578832563328918,good_cr_low_ci,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,3,0.2651272434258894,0.00376672474866158,0.0007533449497323161,0.007641578252942927,0.042944334655038184,0.08622793766553567,good_cr_low_ci,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,4,0.28169205305693457,0.0038919639929209447,0.0007783927985841889,0.008923231378102248,0.04281909541077882,0.08610182219568102,good_cr_low_ci,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,5,0.2596140352942841,0.0037243505511910056,0.0007448701102382012,0.0131547863845482,0.04298670885250876,0.08697400161372659,near_cr_off_ci,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,6,0.28722208494253965,0.003933034012515701,0.0007866068025031404,0.014453263263707328,0.04277802539118407,0.08676828132702172,near_cr_off_ci,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,7,0.2541049913683347,0.0036816864931801213,0.0007363372986360243,0.01866383031049762,0.04302937291051965,0.08805933394109507,near_cr_off_ci,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,8,0.29275633024547687,0.003973743019088052,0.0007947486038176106,0.019987508566644552,0.042737316384611715,0.08778048385452938,near_cr_off_ci,0.2727688216788323,0.04671105940369977
