mode_index,alpha,Mach,accepted,gep_cr,gep_ci,distance_to_shooting,gep_omega_i,selection_source,N
63,0.1815,1.8,True,0.4669746528978621,0.008986575429674027,0.012209965029684983,0.0016310634404858358,target_then_overlap,561.0
64,0.1935,1.8,True,0.467231227736139,0.008533217388172143,0.013299513925026615,0.0016511775646113097,target_then_overlap,561.0
65,0.195,1.8,True,0.46725645989925263,0.008488379660784907,0.013626462635330572,0.0016552340338530569,target_then_overlap,561.0
66,0.1965,1.8,True,0.4672805342671298,0.008446013259570928,0.013983075045757827,0.0016596416055056874,target_then_overlap,561.0
67,0.198,1.8,True,0.4673035365661706,0.008406070240087812,0.014379478943020234,0.0016644019075373869,target_then_overlap,561.0
68,0.19949999999999998,1.8,True,0.46732554570934315,0.008368503770742084,0.01437348481893839,0.0016695165022630456,target_then_overlap,561.0
69,0.20249999999999999,1.8,True,0.46736686958623136,0.008300320410781515,0.01532819430880863,0.0016808148831832567,target_then_overlap,561.0
70,0.204,1.8,True,0.4673863131228426,0.00826961775991497,0.015855188501033766,0.0016870020230226536,target_then_overlap,561.0
71,0.2055,1.8,True,0.4674050220769524,0.008241120427922681,0.0164108478551217,0.0016935502479381108,target_then_overlap,561.0
72,0.207,1.8,True,0.4674230492312616,0.008214790394255987,0.016992923509441562,0.0017004616116109892,target_then_overlap,561.0
73,0.2085,1.8,True,0.46744044345690483,0.008190591715737263,0.01759932844382217,0.0017077383727312192,target_then_overlap,561.0
74,0.21,1.8,True,0.46745725006949,0.008168490564087283,0.017815196279665116,0.0017153830184583293,target_then_overlap,561.0
