alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.075,561.0,0.09382410900189286,0.004112807904843515,0.000822561580968703,0.06725778243951995,0.1731506845869371,0.999625521791176,target_then_overlap,152,True,False,0.11133771960083844,0.03658157267373448,blended_continuation,0.15208414713541668,0.08564029947916667,0.017128059895833336,True
0.21,1.075,561.0,0.10348134807648007,0.004340684590752652,0.0009115437640580569,0.06226065744337586,0.16072481877224037,0.9994852198659834,target_then_overlap,147,True,False,0.1199035148803024,0.03436859620123944,blended_continuation,0.1590226236979167,0.07975227864583333,0.016747978515624998,True
0.22,1.075,561.0,0.11314652122893606,0.004563773698601897,0.0010040302136924174,0.057226737651279946,0.14820532061837036,0.9992973585957174,target_then_overlap,150,True,False,0.12834108749172138,0.03215011387945159,blended_continuation,0.16563069661458335,0.07386425781249999,0.01625013671875,True
0.23,1.075,561.0,0.12282116856318329,0.004785866968819295,0.001100749402828438,0.05217787390411731,0.1356042228375811,0.9990461656274194,target_then_overlap,150,True,False,0.13651909763319497,0.02995974859416114,blended_continuation,0.17157796223958333,0.0680537109375,0.015652353515625002,True
0.24,1.075,561.0,0.12282685261561613,0.004856692245648896,0.0011656061389557352,0.050777279835003866,0.12713888701908838,0.9996107496877265,target_then_overlap,153,True,False,0.14457063082540997,0.02779977538962491,blended_continuation,0.17719482421875,0.06232063802083333,0.014956953124999998,True
0.25,1.075,561.0,0.13251502753809874,0.005089493036131516,0.001272373259032879,0.04326123424911312,0.11433251264596335,0.9984513257731342,target_then_overlap,150,True,False,0.1465564631318697,0.025549041389056,blended_continuation,0.18215087890625004,0.056587565104166654,0.014146891276041663,True
0.26,1.075,561.0,0.13252352832404812,0.005174501706490167,0.0013453704436874436,0.04247930150933993,0.10642365457085709,0.9993720293635989,target_then_overlap,121,True,False,0.15435178996035925,0.023395492696678906,blended_continuation,0.18710693359375002,0.05085449218749999,0.013222167968749997,True
0.27,1.075,561.0,0.1422289437116199,0.005424923306915824,0.0014647292928672727,0.03453301408151756,0.09386856093321307,0.9975259438309332,target_then_overlap,123,True,False,0.15633931230692888,0.021184258315560762,blended_continuation,0.19206298828125,0.045198893229166655,0.012203701171874998,True
0.28,1.075,561.0,0.14224164460837332,0.005527749904595655,0.0015477699732867835,0.03467078439426041,0.08693005500414644,0.9990089847784721,target_then_overlap,126,True,False,0.1638806604978053,0.01907227169248283,blended_continuation,0.19635823567708338,0.039543294270833335,0.011072122395833335,True
0.29,1.075,561.0,0.1422554267972303,0.005638317170652813,0.0016351119794893157,0.03244709367480227,0.08136322987935177,0.99886036484256,target_then_overlap,125,True,False,0.16560637999419067,0.016902717651090728,blended_continuation,0.2006534830729167,0.03396516927083333,0.009849899088541666,True
