alpha,Mach,rank,cand_cr,cand_ci,cand_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,overlap_to_anchor,score,target_cr,target_ci,shooting_cr,shooting_ci
0.2,1.2500000000000002,1,0.4590317834488752,0.00892464437570303,0.0017849288751406061,0.039869189443792065,0.2123648954497626,0.9517945471527014,0.82942784093875,1.5157312518740738,0.4524324607171546,0.02858425529751158,0.2680387369791668,0.05534798177083333
0.2,1.2500000000000002,2,0.46908209568824694,0.009011150186677926,0.0018022300373355853,0.04253981804603296,0.2213748854907923,0.9594568886488006,0.843635599840275,1.5229863758772544,0.4524324607171546,0.02858425529751158,0.2680387369791668,0.05534798177083333
0.2,1.2500000000000002,3,0.4489816222144881,0.00884289147250107,0.001768578294500214,0.03963324449319308,0.20344832614673145,0.9432639952037979,0.8142740441935257,1.561539952150356,0.4524324607171546,0.02858425529751158,0.2680387369791668,0.05534798177083333
0.2,1.2500000000000002,4,0.4389331677812779,0.008764150951206803,0.0017528301902413606,0.04187573348566266,0.19464100198700138,0.9338236015883836,0.798146812006129,1.6615543130085846,0.4524324607171546,0.02858425529751158,0.2680387369791668,0.05534798177083333
0.2,1.2500000000000002,5,0.42888784608910463,0.008686962144988838,0.0017373924289977678,0.04623805767085268,0.18596085316957026,0.9234344914768284,0.781023202500211,1.8081840064829835,0.4524324607171546,0.02858425529751158,0.2680387369791668,0.05534798177083333
0.2,1.2750000000000001,1,0.5753616098758131,0.010741770981963742,0.0021483541963927487,0.025925613032541265,0.3051351514461818,0.9604045759551896,0.9604045759551896,1.3603864640535313,0.5724365028641387,0.023621805532415528,0.28134521484375,0.05155175781249999
0.2,1.2750000000000001,2,0.5658401767482032,0.011418196213982981,0.0022836392427965963,0.025282876414987037,0.29560141138929646,0.955424127643563,0.955424127643563,1.385123424577421,0.5724365028641387,0.023621805532415528,0.28134521484375,0.05155175781249999
0.2,1.2750000000000001,3,0.5850952524032815,0.0101596771991501,0.00203193543983002,0.02975163082824166,0.31482900544172393,0.9650572618478455,0.9650572618478455,1.4321557014935662,0.5724365028641387,0.023621805532415528,0.28134521484375,0.05155175781249999
0.2,1.2750000000000001,4,0.5567335259671332,0.011984198907809192,0.0023968397815618387,0.028077019699822372,0.2865328755554832,0.9509149507724548,0.9509149507724548,1.506808679744331,0.5724365028641387,0.023621805532415528,0.28134521484375,0.05155175781249999
0.2,1.2750000000000001,5,0.54784401855408,0.011962606919983644,0.002392521383996729,0.033890086067713314,0.27801225845742616,0.9471278671029227,0.9471278671029227,1.699610053902046,0.5724365028641387,0.023621805532415528,0.28134521484375,0.05155175781249999
0.2,1.3,1,0.766497361544398,0.00500183734569255,0.0010003674691385102,0.004453109294280677,0.01113277323570164,1.0,1.0,0.2235857617076312,0.7645416460933054,0.0030015024074155298,0.7616080729166668,1e-06
0.2,1.3,2,0.7575074975335041,0.005181224589096918,0.0010362449178193836,0.008275506094409614,0.011142424585651766,0.9999659312942987,0.9999659312942987,0.738889199121181,0.7645416460933054,0.0030015024074155298,0.7616080729166668,1e-06
