epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_classic_mode_supervision,loss_classic_full_mode_supervision,loss_classic_balanced_full_mode_supervision,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
11,14.913789749145508,0.0027407193556427956,1.166590095635911e-06,0.0,0.0,0.4941975176334381,0.9992436170578003,0.00038342998595908284,1.5663841751445418e-11,0.0,0.00029429560527205467,0.19427742063999176,0.0,0.0,0.5463042855262756,0.0,1.8149940967559814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.913789749145508,0,,
12,14.821069717407227,0.002818785607814789,1.2157836408732692e-06,0.0,0.0,0.49411308765411377,0.9992371797561646,0.0003907845530193299,1.2094717588562176e-11,0.0,0.0013156639179214835,0.2127511203289032,0.0,0.0,0.5407076478004456,0.0,1.8009339570999146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.821069717407227,0,,
13,14.6864652633667,0.00312198419123888,1.2666348538914463e-06,0.0,0.0,0.4940192401409149,0.9992197155952454,0.00039730852586217225,1.941117960813088e-10,0.0,1.4736604498466477e-05,0.18195876479148865,0.0,0.0,0.5353489518165588,0.0,1.788655400276184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.6864652633667,0,,
14,14.688791275024414,0.003274708054959774,1.3152595101928455e-06,0.0,0.0,0.4939243793487549,0.9992086291313171,0.0004029929405078292,1.170511306153657e-13,0.0,0.002535364357754588,0.2761729657649994,0.0,0.0,0.5300806760787964,0.0,1.7782119512557983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.688791275024414,0,,
15,14.463027954101562,0.00309534789994359,1.3518963442038512e-06,0.0,0.0,0.4938308596611023,0.99919193983078,0.00040842671296559274,1.0625855750845403e-10,0.0,0.0018645278178155422,0.15007314085960388,0.0,0.0,0.5248717665672302,0.0,1.7665592432022095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.463027954101562,0,,
16,14.345170974731445,0.0034379884600639343,1.3839897974321502e-06,0.0,0.0,0.493745356798172,0.9991779923439026,0.00041329371742904186,1.4192633179810343e-10,0.0,0.00032760179601609707,0.12583361566066742,0.0,0.0,0.519597589969635,0.0,1.7566640377044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.345170974731445,0,,
17,14.352734565734863,0.002984496532008052,1.4179338450048817e-06,0.0,0.0,0.4936695992946625,0.9991651177406311,0.00041742593748494983,9.170288833848517e-11,0.0,0.0018051188671961427,0.21554893255233765,0.0,0.0,0.5142053365707397,0.0,1.749373435974121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.352734565734863,0,,
18,14.234511375427246,0.003087324555963278,1.4594296544601093e-06,0.0,0.0,0.49360665678977966,0.999167263507843,0.0004209500038996339,1.3031541123975643e-10,0.0,9.63018820243633e-08,0.1700381487607956,0.0,0.0,0.5086733102798462,0.0,1.7454649209976196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.234511375427246,0,,
19,14.144412994384766,0.0037238975055515766,1.5017742498457665e-06,0.0,0.0,0.49355825781822205,0.9991629719734192,0.0004242034920025617,2.2226290252724823e-10,0.0,8.606787741882727e-05,0.1369900107383728,0.0,0.0,0.5031965970993042,0.0,1.7447261810302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.144412994384766,0,,
20,14.056468963623047,0.0033497202675789595,1.5500880863328348e-06,0.0,0.0,0.4935225248336792,0.9991549849510193,0.00042712263530120254,1.1345330924728003e-10,0.0,2.09753980016103e-05,0.09777163714170456,0.0,0.0,0.4978506565093994,0.0,1.7460306882858276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.056468963623047,0,,
21,14.235279083251953,0.004095417447388172,1.602805127731699e-06,0.0,0.0,0.4935019016265869,0.9991578459739685,0.000429812673246488,5.764142982367382e-11,0.0,4.137194264330901e-05,0.32022082805633545,0.0,0.0,0.49277421832084656,0.0,1.7476235628128052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.235279083251953,0,,
22,14.0404691696167,0.003674502484500408,1.6247300891336636e-06,0.0,0.0,0.49348506331443787,0.999154269695282,0.0004337856953497976,4.5585094726741104e-11,0.0,0.0007130693411454558,0.16870422661304474,0.0,0.0,0.4880184233188629,0.0,1.7486317157745361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.0404691696167,0,,
23,14.00262451171875,0.004212540574371815,1.6540132037334843e-06,0.0,0.0,0.493481308221817,0.9991331696510315,0.00043775406084023416,6.777313432682064e-11,0.0,2.718347059271764e-05,0.176980122923851,0.0,0.0,0.48346540331840515,0.0,1.748529076576233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.00262451171875,0,,
24,14.001354217529297,0.004486477933824062,1.6846261132741347e-06,0.0,0.0,0.49348732829093933,0.9991349577903748,0.0004417596210259944,1.5164303146519842e-10,0.0,5.760554995504208e-05,0.2236461341381073,0.0,0.0,0.4791596829891205,0.0,1.747229814529419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,14.001354217529297,0,,
25,13.921245574951172,0.004349392838776112,1.7156453395728022e-06,0.0,0.0,0.4934963881969452,0.999125063419342,0.0004457715549506247,1.9067616929824283e-10,0.0,0.00011611220543272793,0.19273892045021057,0.0,0.0,0.4750872254371643,0.0,1.7451306581497192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,13.921245574951172,0,,
26,13.832246780395508,0.004253940191119909,1.7469056956542772e-06,0.0,0.0,0.49351340532302856,0.9991292357444763,0.00044982144027017057,4.5928396502636915e-11,0.0,1.2818169125239365e-05,0.15140926837921143,0.0,0.0,0.4712161421775818,0.0,1.7429335117340088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,13.832246780395508,0,,
27,13.827692985534668,0.0045698583126068115,1.7832087451097323e-06,0.0,0.0,0.4935326874256134,0.9991206526756287,0.00045359833166003227,1.9935245674281704e-14,0.0,1.301637075812323e-05,0.18965555727481842,0.0,0.0,0.4675350487232208,0.0,1.7413547039031982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,13.827692985534668,0,,
28,13.793107032775879,0.004567638039588928,1.8274461126566166e-06,0.0,0.0,0.49355241656303406,0.9991167187690735,0.0004569546726997942,2.4441369067540464e-11,0.0,7.558198558399454e-05,0.19226546585559845,0.0,0.0,0.46390119194984436,0.0,1.7411209344863892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,13.793107032775879,0,,
29,13.756513595581055,0.0045382194221019745,1.8707045228438801e-06,0.0,0.0,0.493569016456604,0.999115526676178,0.0004599661915563047,4.945309439730039e-11,0.0,6.944291612853704e-07,0.18734562397003174,0.0,0.0,0.4603625535964966,0.0,1.7420706748962402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,13.756513595581055,0,,
30,13.767717361450195,0.004657666198909283,1.9051732351726969e-06,0.0,0.0,0.49357959628105164,0.9991136193275452,0.00046264930278994143,3.7238257616367676e-11,0.0,3.156131788273342e-05,0.22608189284801483,0.0,0.0,0.4569312334060669,0.0,1.7437254190444946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,13.767717361450195,0,,
31,18.565446853637695,0.004143893718719482,1.9434276055108057e-06,0.0,0.0,0.4935843348503113,0.9991030097007751,0.0004646940215025097,1.7287166706805857e-12,0.0,0.00037222434184513986,0.15988439321517944,0.0,0.0,0.45354804396629333,0.0,2.9682106971740723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.565446853637695,0,,
32,18.28803253173828,0.0046606771647930145,1.997179879253963e-06,0.0,0.0,0.49366652965545654,0.999095618724823,0.0004687765904236585,2.0596314584397923e-11,0.0,0.0010705235181376338,0.13482554256916046,0.0,0.0,0.4491823613643646,0.0,2.91571307182312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.28803253173828,0,,
33,18.034584045410156,0.004694555886089802,2.0661864255089313e-06,0.0,0.0,0.49380579590797424,0.9990954995155334,0.0004740197036881,1.097804833150029e-10,0.0,0.00030377242364920676,0.21468931436538696,0.0,0.0,0.44664254784584045,0.0,2.838881731033325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.034584045410156,0,,
34,17.66565704345703,0.004345501773059368,2.1341340925573604e-06,0.0,0.0,0.4939826726913452,0.9990920424461365,0.0004806043580174446,2.52572351921998e-10,0.0,0.0006644984241575003,0.1812923550605774,0.0,0.0,0.4482235610485077,0.0,2.7509989738464355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,17.66565704345703,0,,
35,18.43708610534668,0.0043488978408277035,2.2202768832357833e-06,0.0,0.0,0.4941881597042084,0.999077320098877,0.0004878021718468517,2.214312067039259e-10,0.0,0.0003261486126575619,0.15431636571884155,0.0,0.0,0.4551852345466614,0.0,2.933232069015503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.43708610534668,0,,
36,18.207094192504883,0.00460247416049242,2.3206234800454695e-06,0.0,0.0,0.49440711736679077,0.999065637588501,0.000495548767503351,8.706668025437736e-11,0.0,6.925598427187651e-05,0.1751990020275116,0.0,0.0,0.4679443836212158,0.0,2.838563919067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.207094192504883,0,,
37,19.101064682006836,0.004878701642155647,2.4327775918209227e-06,0.0,0.0,0.4946269094944,0.9990749359130859,0.0005038647796027362,6.646629427398132e-12,0.0,0.0002603425527922809,0.16339848935604095,0.0,0.0,0.48565244674682617,0.0,3.0205588340759277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,19.101064682006836,0,,
38,18.966869354248047,0.005069580394774675,2.5565236683178227e-06,0.0,0.0,0.4948378801345825,0.99906325340271,0.0005129173514433205,4.9571399068915056e-11,0.0,2.61915329247131e-06,0.1609126776456833,0.0,0.0,0.5068966150283813,0.0,2.9344871044158936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.966869354248047,0,,
39,19.960525512695312,0.005117333494126797,2.6792220069182804e-06,0.0,0.0,0.4950289726257324,0.9990448951721191,0.0005230717943049967,3.742025578290509e-10,0.0,3.78948388970457e-05,0.18161650002002716,0.0,0.0,0.529302716255188,0.0,3.121644973754883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,19.960525512695312,0,,
40,19.86016273498535,0.005203478969633579,2.8005133572150953e-06,0.0,0.0,0.4951929450035095,0.9990301132202148,0.0005345281679183245,1.1434938933241323e-11,0.0,0.00034018029691651464,0.15731920301914215,0.0,0.0,0.5513380765914917,0.0,3.0474045276641846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,19.86016273498535,0,,
41,20.765995025634766,0.0053624352440238,2.928476988017792e-06,0.0,0.0,0.49532702565193176,0.9990240335464478,0.0005471474723890424,2.9356492237120335e-10,0.0,0.0011250260286033154,0.09764692187309265,0.0,0.0,0.5710920095443726,0.0,3.2391250133514404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,20.765995025634766,0,,
42,20.701641082763672,0.005553227849304676,3.0646663162769983e-06,0.0,0.0,0.4954319894313812,0.9989875555038452,0.0005609287763945758,5.116434619728549e-13,0.0,2.3361915737041272e-05,0.12541072070598602,0.0,0.0,0.5883545279502869,0.0,3.1731507778167725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,20.701641082763672,0,,
43,20.733753204345703,0.005749313160777092,3.200882019882556e-06,0.0,0.0,0.49550357460975647,0.9989732503890991,0.0005759855266660452,1.8364502973877705e-10,0.0,5.469952884595841e-05,0.24657481908798218,0.0,0.0,0.6025764346122742,0.0,3.1152594089508057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,20.733753204345703,0,,
44,21.500476837158203,0.005567404441535473,3.3019073271134403e-06,0.0,0.0,0.4955421984195709,0.9989416003227234,0.0005933227948844433,2.627382200692807e-10,0.0,0.00013214613136369735,0.1281774342060089,0.0,0.0,0.6135962605476379,0.0,3.309014081954956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,21.500476837158203,0,,
45,21.42217254638672,0.005812827032059431,3.42710495715437e-06,0.0,0.0,0.49554863572120667,0.9989102482795715,0.000611667986959219,3.086166044941052e-11,0.0,0.0012363001005724072,0.18017634749412537,0.0,0.0,0.6227558255195618,0.0,3.253206968307495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,21.42217254638672,0,,
46,21.33721923828125,0.006120729725807905,3.5583291264629224e-06,0.0,0.0,0.4955231249332428,0.99887615442276,0.0006315445061773062,1.8829873424386356e-11,0.0,7.789075607433915e-05,0.2307712286710739,0.0,0.0,0.63023442029953,0.0,3.200850009918213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,21.33721923828125,0,,
47,18.37712860107422,0.005931940861046314,3.6618346257455414e-06,0.0,0.0,0.49546265602111816,0.9988328218460083,0.000653538852930069,2.409024646432556e-10,0.0,0.0018990585813298821,0.14907698333263397,0.0,0.0,0.6363372802734375,0.0,2.465611219406128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.37712860107422,0,,
48,18.274011611938477,0.005700924899429083,3.74295041183359e-06,0.0,0.0,0.4952848553657532,0.9987983703613281,0.0006729586166329682,1.4544065951582752e-10,0.0,0.00039451525663025677,0.09208894520998001,0.0,0.0,0.6324610114097595,0.0,2.4642560482025146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.274011611938477,0,,
49,18.207408905029297,0.007120420224964619,3.834232302324381e-06,0.0,0.0,0.49498364329338074,0.9987785816192627,0.0006890589138492942,2.20700069331059e-10,0.0,0.0011102925054728985,0.20579004287719727,0.0,0.0,0.6223562359809875,0.0,2.443986415863037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,18.207408905029297,0,,
50,25.7935848236084,0.006686818785965443,3.909095539711416e-06,0.0,0.0,0.4945950210094452,0.9987483620643616,0.0007026472012512386,9.001892655770283e-13,0.0,1.750898991303984e-05,0.22312086820602417,0.0,0.0,0.6084839701652527,0.0,4.371365070343018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,25.7935848236084,0,,
51,25.549118041992188,0.0070654586888849735,3.914580702257808e-06,0.0,0.0,0.4941432476043701,0.9987068772315979,0.0007157464860938489,1.1233973473689929e-10,0.0,0.003920269664376974,0.17250682413578033,0.0,0.0,0.5941013693809509,0.0,4.357913494110107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166738512576558e-06,0.0,0.0,0.0,0,3.0000009536743164,0.012189371511340141,,,,,,,,,,,,,,,,25.549118041992188,0,,
