job_id,alpha,Mach,seed,stem,campaign,state,audit_dir,out_log,err_log
939344,0.3,1.8,0.44:0.0240,supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr044_ci00240,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr044_ci00240,slurm/log/KH_shoot_multi_939344.out,slurm/log/KH_shoot_multi_939344.err
939345,0.2,1.2,0.32:0.0040,supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939345.out,slurm/log/KH_shoot_multi_939345.err
939346,0.2,1.2,0.36:0.0120,supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939346.out,slurm/log/KH_shoot_multi_939346.err
939347,0.2,1.2,0.40:0.0200,supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939347.out,slurm/log/KH_shoot_multi_939347.err
939348,0.2,1.2,0.44:0.0120,supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0200_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939348.out,slurm/log/KH_shoot_multi_939348.err
939349,0.225,1.2,0.32:0.0040,supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939349.out,slurm/log/KH_shoot_multi_939349.err
939350,0.225,1.2,0.36:0.0120,supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939350.out,slurm/log/KH_shoot_multi_939350.err
939351,0.225,1.2,0.40:0.0200,supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939351.out,slurm/log/KH_shoot_multi_939351.err
939352,0.225,1.2,0.44:0.0120,supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0225_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939352.out,slurm/log/KH_shoot_multi_939352.err
939353,0.25,1.2,0.32:0.0040,supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939353.out,slurm/log/KH_shoot_multi_939353.err
939354,0.25,1.2,0.36:0.0120,supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939354.out,slurm/log/KH_shoot_multi_939354.err
939355,0.25,1.2,0.40:0.0200,supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939355.out,slurm/log/KH_shoot_multi_939355.err
939356,0.25,1.2,0.44:0.0120,supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0250_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939356.out,slurm/log/KH_shoot_multi_939356.err
939357,0.275,1.2,0.32:0.0040,supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939357.out,slurm/log/KH_shoot_multi_939357.err
939358,0.275,1.2,0.36:0.0120,supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939358.out,slurm/log/KH_shoot_multi_939358.err
939359,0.275,1.2,0.40:0.0200,supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939359.out,slurm/log/KH_shoot_multi_939359.err
939360,0.275,1.2,0.44:0.0120,supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939360.out,slurm/log/KH_shoot_multi_939360.err
939364,0.3,1.2,0.32:0.0040,supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939364.out,slurm/log/KH_shoot_multi_939364.err
939366,0.3,1.2,0.36:0.0120,supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939366.out,slurm/log/KH_shoot_multi_939366.err
939367,0.3,1.2,0.40:0.0200,supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939367.out,slurm/log/KH_shoot_multi_939367.err
939368,0.3,1.2,0.44:0.0120,supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939368.out,slurm/log/KH_shoot_multi_939368.err
939369,0.2,1.3,0.32:0.0040,supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939369.out,slurm/log/KH_shoot_multi_939369.err
939370,0.2,1.3,0.36:0.0120,supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939370.out,slurm/log/KH_shoot_multi_939370.err
939371,0.2,1.3,0.40:0.0200,supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939371.out,slurm/log/KH_shoot_multi_939371.err
939372,0.2,1.3,0.44:0.0120,supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0200_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939372.out,slurm/log/KH_shoot_multi_939372.err
939373,0.225,1.3,0.32:0.0040,supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939373.out,slurm/log/KH_shoot_multi_939373.err
939374,0.225,1.3,0.36:0.0120,supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939374.out,slurm/log/KH_shoot_multi_939374.err
939378,0.225,1.3,0.40:0.0200,supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939378.out,slurm/log/KH_shoot_multi_939378.err
939380,0.225,1.3,0.44:0.0120,supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0225_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939380.out,slurm/log/KH_shoot_multi_939380.err
939381,0.25,1.3,0.32:0.0040,supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939381.out,slurm/log/KH_shoot_multi_939381.err
939382,0.25,1.3,0.36:0.0120,supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939382.out,slurm/log/KH_shoot_multi_939382.err
939383,0.25,1.3,0.40:0.0200,supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939383.out,slurm/log/KH_shoot_multi_939383.err
939384,0.25,1.3,0.44:0.0120,supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr044_ci00120,slurm/log/KH_shoot_multi_939384.out,slurm/log/KH_shoot_multi_939384.err
939385,0.275,1.3,0.32:0.0040,supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr032_ci00040,slurm/log/KH_shoot_multi_939385.out,slurm/log/KH_shoot_multi_939385.err
939386,0.275,1.3,0.36:0.0120,supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr036_ci00120,slurm/log/KH_shoot_multi_939386.out,slurm/log/KH_shoot_multi_939386.err
939659,0.275,1.3,0.40:0.0200,supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr040_ci00200,slurm/log/KH_shoot_multi_939659.out,slurm/log/KH_shoot_multi_939659.err
1003631,0.2,1.1,0.20:0.0010,supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr020_ci00010,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr020_ci00010,slurm/log/KH_shoot_multi_1003631.out,slurm/log/KH_shoot_multi_1003631.err
1003632,0.2,1.1,0.28:0.0025,supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr028_ci00025,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr028_ci00025,slurm/log/KH_shoot_multi_1003632.out,slurm/log/KH_shoot_multi_1003632.err
1003633,0.2,1.1,0.36:0.0060,supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr036_ci00060,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr036_ci00060,slurm/log/KH_shoot_multi_1003633.out,slurm/log/KH_shoot_multi_1003633.err
1003634,0.2,1.1,0.44:0.0100,supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr044_ci00100,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0200_sparse_supersonic_expand1_M110_catch_cr044_ci00100,slurm/log/KH_shoot_multi_1003634.out,slurm/log/KH_shoot_multi_1003634.err
1003635,0.25,1.1,0.20:0.0010,supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr020_ci00010,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr020_ci00010,slurm/log/KH_shoot_multi_1003635.out,slurm/log/KH_shoot_multi_1003635.err
1003636,0.25,1.1,0.28:0.0025,supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr028_ci00025,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr028_ci00025,slurm/log/KH_shoot_multi_1003636.out,slurm/log/KH_shoot_multi_1003636.err
1003637,0.25,1.1,0.36:0.0060,supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr036_ci00060,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr036_ci00060,slurm/log/KH_shoot_multi_1003637.out,slurm/log/KH_shoot_multi_1003637.err
1003638,0.25,1.1,0.44:0.0100,supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr044_ci00100,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0250_sparse_supersonic_expand1_M110_catch_cr044_ci00100,slurm/log/KH_shoot_multi_1003638.out,slurm/log/KH_shoot_multi_1003638.err
1003639,0.3,1.1,0.20:0.0010,supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr020_ci00010,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr020_ci00010,slurm/log/KH_shoot_multi_1003639.out,slurm/log/KH_shoot_multi_1003639.err
1003640,0.3,1.1,0.28:0.0025,supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr028_ci00025,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr028_ci00025,slurm/log/KH_shoot_multi_1003640.out,slurm/log/KH_shoot_multi_1003640.err
1003641,0.3,1.1,0.36:0.0060,supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr036_ci00060,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr036_ci00060,slurm/log/KH_shoot_multi_1003641.out,slurm/log/KH_shoot_multi_1003641.err
1003642,0.3,1.1,0.44:0.0100,supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr044_ci00100,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1100_a0300_sparse_supersonic_expand1_M110_catch_cr044_ci00100,slurm/log/KH_shoot_multi_1003642.out,slurm/log/KH_shoot_multi_1003642.err
1003643,0.2,1.9,0.36:0.0160,supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr036_ci00160,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr036_ci00160,slurm/log/KH_shoot_multi_1003643.out,slurm/log/KH_shoot_multi_1003643.err
1003644,0.2,1.9,0.40:0.0260,supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr040_ci00260,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr040_ci00260,slurm/log/KH_shoot_multi_1003644.out,slurm/log/KH_shoot_multi_1003644.err
1003645,0.2,1.9,0.44:0.0160,supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr044_ci00160,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr044_ci00160,slurm/log/KH_shoot_multi_1003645.out,slurm/log/KH_shoot_multi_1003645.err
1003646,0.2,1.9,0.44:0.0340,supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr044_ci00340,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr044_ci00340,slurm/log/KH_shoot_multi_1003646.out,slurm/log/KH_shoot_multi_1003646.err
1003647,0.25,1.9,0.36:0.0160,supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr036_ci00160,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr036_ci00160,slurm/log/KH_shoot_multi_1003647.out,slurm/log/KH_shoot_multi_1003647.err
1003648,0.25,1.9,0.40:0.0260,supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr040_ci00260,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr040_ci00260,slurm/log/KH_shoot_multi_1003648.out,slurm/log/KH_shoot_multi_1003648.err
1003649,0.25,1.9,0.44:0.0160,supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr044_ci00160,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr044_ci00160,slurm/log/KH_shoot_multi_1003649.out,slurm/log/KH_shoot_multi_1003649.err
1003650,0.25,1.9,0.44:0.0340,supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr044_ci00340,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr044_ci00340,slurm/log/KH_shoot_multi_1003650.out,slurm/log/KH_shoot_multi_1003650.err
1003651,0.3,1.9,0.36:0.0160,supersonic_multicandidate_M1900_a0300_sparse_supersonic_expand1_M190_catch_cr036_ci00160,sparse_supersonic_expand1,done,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M1900_a0300_sparse_supersonic_expand1_M190_catch_cr036_ci00160,slurm/log/KH_shoot_multi_1003651.out,slurm/log/KH_shoot_multi_1003651.err
