alpha,ci_reference,omega_i_reference,ci_pinn,ci_abs_err
0.68,0.22409226393812698,0.15238273947792635,0.2173057,0.006786558986840663
0.69125,0.2153762945373909,0.14887886359897148,0.20855603,0.00682026831706925
0.7025,0.2067113899774276,0.1452147514591429,0.20001489,0.006696500737162714
0.71375,0.19816367171083113,0.1414393206836057,0.19168806,0.006475610950333083
0.725,0.18964051049478914,0.13748937010872211,0.18358122,0.006059292371353164
0.7362500000000001,0.18123408976867272,0.13343359859218532,0.1756997,0.005534393823886652
0.7475,0.17284874139418022,0.12920443419214972,0.16804801,0.004800732117790141
0.75875,0.16457580650029782,0.12487189318210098,0.16063045,0.003945356847626008
0.77,0.15633210771887557,0.12037572294353419,0.15345047,0.002881633575847309
0.78125,0.14814854795318846,0.11574105308842848,0.14651099,0.0016375594792962522
0.7925,0.14005873721069242,0.11099654923947375,0.139814,0.0002447329086675831
0.80375,0.13199399795416447,0.10609017585565969,0.13336112,0.0013671180975094177
0.8150000000000001,0.12401128703409212,0.10106919893278508,0.12715271,0.0031414241189382797
0.82625,0.11607960334457233,0.09591077226345289,0.121188626,0.005109022348748896
0.8375,0.10819456730591674,0.09061295011870528,0.11546785,0.007273279087668463
0.84875,0.10035833295517463,0.08517913509570446,0.10998845,0.009630118048853692
0.86,0.09258170002587385,0.0796202620222515,0.1047478,0.012166101993245415
0.87125,0.08486726467868949,0.07394060435130821,0.099742584,0.01487531925180291
0.8825000000000001,0.07719434663409341,0.06812401090458745,0.09496857,0.017774225624855866
0.89375,0.06959042232692796,0.062196439954691866,0.090421036,0.020830613558882896
0.905,0.06204118794256091,0.056147275088017624,0.08609458,0.024053392648164036
0.91625,0.054518086417493325,0.04995219668002826,0.081983246,0.027465159491720695
0.9275,0.047059026086675955,0.043647246695391946,0.07808063,0.031021605705869364
0.93875,0.03961144308841628,0.03718524219925078,0.074379906,0.034768462969895185
0.95,0.032231862142543116,0.03062026903541596,0.070874006,0.03864214341356345
